location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1049466702,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466705,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466707,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466712,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466716,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466724,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466726,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466733,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466737,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466752,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466774,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466778,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466781,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466783,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466825,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466831,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466840,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466841,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466842,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466854,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466859,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466862,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466864,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466867,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466875,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466878,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466899,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466901,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466902,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466909,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466917,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466936,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466946,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466948,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466954,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466964,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466968,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466970,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466972,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466973,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466976,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466983,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466985,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466986,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466990,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466996,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049466997,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467015,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467016,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467026,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467027,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467028,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467030,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467035,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467045,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467047,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467051,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467053,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467096,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467097,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467102,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467108,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467109,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467115,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467146,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467162,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467173,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467175,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
1049467179,CM61-BEAD-WA-26-96212-001,0,61,20,150,1
