geography_type,geography_id,geography_desc,geography_desc_full,project_id,project_name,program_id,program_name,agency_id,location_count,agency_name,agency_name_abbr,total_location_count
state,53,"Washington","Washington",14640,"Dayton Community Broadband",18,"Capital Projects Fund",4,1407,"US Department of Treasury","Treasury",1407
state,53,"Washington","Washington",2869,"Kalama Telephone Company  -WA1703-A73",6,"RURAL ECONNECTIVITY PROGRAM",3,1362,"Rural Utilities Service","RUS",1362
state,53,"Washington","Washington",14528,"Tulalip Tribes of Washington",41,"Tribal Broadband Connectivity Program NOFO 2",5,1314,"NTIA","NTIA",1314
state,53,"Washington","Washington",11485,"Wahkiakum West Inc. - WA",35,"Enhanced Alternative Connect America Cost Model",1,1213,"Federal Communications Commission","FCC",1213
state,53,"Washington","Washington",14651,"'Connecting the Mineral, Elbe, & Ashford Communities'",18,"Capital Projects Fund",4,1159,"US Department of Treasury","Treasury",1159
state,53,"Washington","Washington",14662,"Point Roberts Fiber-to-the-home Networks",18,"Capital Projects Fund",4,1080,"US Department of Treasury","Treasury",1080
state,53,"Washington","Washington",14654,"Connecting the Greater Vader Community",18,"Capital Projects Fund",4,993,"US Department of Treasury","Treasury",993
state,53,"Washington","Washington",13789,"Hood Canal Telephone Co., Inc.-WA0541-F42",12,"TELEPHONE LOAN PROGRAM",3,968,"Rural Utilities Service","RUS",968
state,53,"Washington","Washington",14645,"Walla Walla Rural County Install",18,"Capital Projects Fund",4,953,"US Department of Treasury","Treasury",953
state,53,"Washington","Washington",6675,"Public Utility District No. 1 of Jefferson County, Washington-WA1705-A71",6,"RURAL ECONNECTIVITY PROGRAM",3,942,"Rural Utilities Service","RUS",942
state,53,"Washington","Washington",6674,"PUBLIC UTILITY DISTRICT 1 OF OKANOGAN CO-WA1707-A73",6,"RURAL ECONNECTIVITY PROGRAM",3,916,"Rural Utilities Service","RUS",916
state,53,"Washington","Washington",13179,"Confederated Tribes of the Colville Reservation",27,"Tribal Broadband Connectivity Program NOFO 1",5,788,"NTIA","NTIA",788
state,53,"Washington","Washington",11483,"St. John Telephone, Inc. - WA",35,"Enhanced Alternative Connect America Cost Model",1,784,"Federal Communications Commission","FCC",784
state,53,"Washington","Washington",11482,"Pioneer Telephone Holding Company - WA",35,"Enhanced Alternative Connect America Cost Model",1,759,"Federal Communications Commission","FCC",759
state,53,"Washington","Washington",13768,"Public Utility District 1 of Lewis County-WA1411-B23",10,"COMMUNITY CONNECT GRANT PROGRAM",3,746,"Rural Utilities Service","RUS",746
state,53,"Washington","Washington",14641,"Whatcom County Rural Broadband",18,"Capital Projects Fund",4,729,"US Department of Treasury","Treasury",729
state,53,"Washington","Washington",14635,"Nisqually Reservation Open Access Network Phase 1",18,"Capital Projects Fund",4,729,"US Department of Treasury","Treasury",729
state,53,"Washington","Washington",14664,"Kittitas County Broadband 2022",18,"Capital Projects Fund",4,676,"US Department of Treasury","Treasury",676
state,53,"Washington","Washington",14666,"Cloquallum Communities Rural Fiber Expansion",18,"Capital Projects Fund",4,660,"US Department of Treasury","Treasury",660
